icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,velocity
738a89,304     ,Israel,1744096036.0,1744096036,34.8963,31.6656,266.7
80162c,AXB106  ,India,1744096036.0,1744096036,99.3462,14.6887,9395.46
4b1819,SWR2121 ,Switzerland,1744096036.0,1744096037,8.4233,47.5645,1036.32
80162d,AXB1152 ,India,1744096019.0,1744096019,75.3706,29.5071,11132.82
e8027b,LAN533  ,Chile,1744095992.0,1744096024,-79.3153,-6.4777,12496.8
738a86,318     ,Israel,1744095991.0,1744095991,34.8407,31.657,190.5
88044a,AIQ3073 ,Thailand,1744096036.0,1744096036,100.1281,14.8585,11582.4
7c6b2d,        ,Australia,1744095944.0,1744095944,115.971,-31.9434,
88044f,,Thailand,1744095858.0,1744095858,100.7577,13.6912,
39de4c,TVF55CU ,France,1744096036.0,1744096036,-7.7728,40.5572,10043.16
88044d,AIQ3433 ,Thailand,1744096036.0,1744096037,99.1371,18.1258,4617.72
801640,AIC2355 ,India,1744096036.0,1744096036,100.7684,13.8143,685.8
801643,,India,1744096037.0,1744096037,83.9092,23.6031,11148.06
440da5,EJU13HE ,Austria,1744095947.0,1744095947,14.7904,37.5323,1775.46
80162e,AIC2419 ,India,1744096035.0,1744096036,72.7684,19.0995,914.4
a6fe23,N55LY   ,United States,1744096036.0,1744096036,9.2171,46.9582,8229.6
80162f,AIC2425 ,India,1744096036.0,1744096036,73.1478,19.423,2476.5
880457,AIQ614  ,Thailand,1744096036.0,1744096036,101.2545,13.5687,7734.3
880455,AIQ481  ,Thailand,1744096037.0,1744096037,104.2838,20.2897,10972.8
8744f6,ANA69   ,Japan,1744096037.0,1744096037,140.7828,39.689,11887.2
4b1805,SWR39H  ,Switzerland,1744096036.0,1744096037,4.3881,47.1519,8328.66
4b1800,SWR193T ,Switzerland,1744096034.0,1744096035,12.561,55.5647,106.68
7c6b1c,JST706  ,Australia,1744096036.0,1744096036,146.372,-39.9593,11582.4
4b1801,SWR350F ,Switzerland,1744096036.0,1744096036,9.5157,49.3057,11582.4
7c6b31,JST885  ,Australia,1744096035.0,1744096035,150.617,-30.7458,9753.6
